Expected Input,Document Type
JSE Weekly Bulletin ,Bulletins
JSE Monthly Regulatory Report,RMOD Updates
Company Acquistion Notices,Acquisitions
APO Prospectus,APO
IPO Prospectus,IPO
Prospectus,Prospectus
Notice of Appointment Letters,Appointments
Notice of Change in Managers,Change in Management
Notice of Disposal,Disposals
Notice of Dividend Consideratio n,Dividend Considerations
Notice of Dividend Declaration,Dividend Payments
"Circular Letter to Shareholders
",General Meetings
"Notice of Annual Meeting including Notes and Guidelines for Pre-registration 2024

",General Meetings
"Management Proxy Circular 2024

",General Meetings
"Form of Proxy 2024

",General Meetings
Notice of and Updates On Mergers,Mergers
Daily NAV,NAV
Unaudited NAV,NAV
Notice of Resignation,Resignations and Retirements
Notice of Trading in Shares,Trading in Shares
Annual Audited Financial Statements,Annual Report
First Quarter Financial Statements,Quarterly_Report_Q1
Second Quarter Financial Statements,Quarterly_Report_Q2
Third Quarter Financial Statements,Quarterly_Report_Q3
Fourth Quarter Financial Statements,Quarterly_Report_Q4
Directors' Circular,Directors Circular
Rights Issue Circular,Rights Issue Circular
Take Over Bid Circular,Take Over Bid Circular
N/A,Podcasts
N/A,JSE Updates
N/A,Other Company News
