Symbol,Company Name
138SL,138 student living jamaica limited
1834,1834 investments limited
AFS,access financial services limited
AMG,amg packaging & paper company limited
ASBH,as bryden and sons holdings limited
BIL,barita investments limited
BRG,berger paints jamaica ltd
BPOW,blue power group limited
CAC,cac 2000 limited
CHL,cargo handlers limited
CABROKERS,caribbean assurance brokers limited
CCC,caribbean cement company ltd
KREMI,caribbean cream limited
CFF,caribbean flavours & fragrances limited
CPJ,caribbean producers jamaica limited
CAR,carreras limited
PURITY,consolidated bakeries (jamaica) limited
DTL,derrimon trading company limited
DOLLA,dolla financial services limited
DCOVE,dolphin cove limited
LEARN,edufocal limited
ELITE,elite diagnostic limited
CPFV,eppley caribbean property fund limited scc
EPLY,eppley limited
EFRESH,everything fresh limited
ECL,express catering limited
FIRSTROCKJMD,first rock real estate investments limited (formerly first rock capital holdings limited)
FTNA,fontana limited
FOSRICH,fosrich company limited
FESCO,future energy source company ltd
GENAC,general accident insurance company (ja) limited
GK,gracekennedy limited
GHL,guardian holdings limited
GWEST,gwest corporation limited
HONBUN,honey bun (1982) limited
ICREATE,icreate limited
IPCL,image plus consultants limited
INDIES,indies pharma jamaica limited
ENERGY,innovative energy group limited (formerly ciboney group limited)
ROC,ironrock insurance company limited
ISP,isp finance services limited
JBG,jamaica broilers group
JP,jamaica producers group ltd
JPS,jamaica public service company limited
JAMT,jamaican teas limited
JETCON,jetcon corporation limited
JFP,jfp limited
JMMBGL,jmmb group limited
KLE,k.l.e. group limited
KEY,key insurance company limited
KPREIT,kingston properties limited
KW,kingston wharves limited
KEX,knutsford express services limited
LASD,lasco distributors limited
LASF,lasco financial services limited
LASM,lasco manufacturing limited
LUMBER,lumber depot limited
MAILPAC,mailpac group limited
MEEG,main event entertainment group limited
MTL,margaritaville (turks) limited
MASSY,massy holdings ltd
MGL,mayberry group limited (formerly mayberry investments limited)
MJE,mayberry jamaican equities limited
MDS,medical disposables & supplies limited
MFS,mfs capital partners limited (formerly ssl venture capital jamaica limited)
MPCCEL,mpc caribbean clean energy limited
NCBFG,ncb financial group limited
1GS,one great studio company limited
ONE,one on one educational services limited
PAL,palace amusement co. ltd
PJAM,pan jamaica group limited (formerly panjam investments limited)
PTL,paramount trading jamaica limited
PJX,portland jsx limited
PBS,productive business solutions limited
PROVEN,proven group limited (formerly proven investments limited)
PULS,pulse investments limited
QWI,qwi investments limited
RJR,radio jamaica limited
RPL,regency petroleum company limited
SJ,sagicor group jamaica limited
XFUND,sagicor real estate x fund ltd.
SELECTMD,sagicor select funds limited - manufacturing and distribution
SELECTF,sagicor select funds limited - financial
SALF,salada foods jamaica ltd
SGJ,scotia group jamaica limited
SEP,seprod limited
SPURTREE,spur tree spices jamaica limited
SML,stanley motta limited
SOS,stationery and office supplies limited
SIL,sterling investments limited
SVL,supreme ventures limited
SCIJMD,sygnus credit investments limited
SRFJMD,sygnus real estate finance limited (jmd)
JSE,the jamaica stock exchange limited
LAB,the limners and bards limited
TJH,transjamaican highway limited
TROPICAL,tropical battery company limited
TTECH,ttech limited
VMIL,vm investments limited
WIG,wigton energy limited (formerly wigton windfarms limited)
WISYNCO,wisynco group limited
ELMIC,equityline mortgage investment corporation
CWJDEFERREDA,community & workers of jamaica co-operative credit union limited
