Company,Symbol
ACCESS FINANCIAL SERVICES LIMITED,AFS
AMG PACKAGING & PAPER COMPANY LIMITED,AMG
BLUE POWER GROUP LIMITED,BPOW
CAC 2000 LIMITED,CAC
CARGO HANDLERS LIMITED,CHL
CARIBBBEAN ASSURANCE BROKERS LIMITED,CABROKERS
CARIBBEAN CREAM LIMITED,KREMI
CARIBBEAN FLAVOURS & FRAGRANCES LIMITED,CFF
CONSOLIDATED BAKERIES (JAMAICA) LIMITED,PURITY
DERRIMON TRADING COMPANY LIMITED,DTL
DOLLA FINANCIAL SERVICES LIMITED,DOLLA
DOLPHIN COVE LIMITED,DCOVE
EDUFOCAL LIMITED,LEARN
ELITE DIAGNOSTIC LIMITED,ELITE
EVERYTHING FRESH LIMITED,EFRESH
EXPRESS CATERING LIMITED,ECL
FONTANA LIMITED,FTNA
FOSRICH COMPANY LIMITED,FOSRICH
FUTURE ENERGY SOURCE COMPANY LTD ORDINARY SHARES,FESCO
GWEST CORPORATION LIMITED ORDINARY SHARES,GWEST
HONEY BUN (1982) LIMITED,HONBUN
IMAGE PLUS CONSULTANTS LIMITED,IPCL
INDIES PHARMA JAMAICA LIMITED ORDINARY SHARES,INDIES
IRONROCK INSURANCE COMPANY LIMITED,ROC
ISP FINANCE SERVICES LIMITED,ISP
JAMAICAN TEAS LIMITED,JAMT
JETCON CORPORATION LIMITED,JETCON
JFP LIMITED,JFP
K.L.E. GROUP LIMITED,KLE
KINTYRE HOLDINGS (JA) LIMITED,KNTYR
KNUTSFORD EXPRESS SERVICES LIMITED,KEX
LASCO FINANCIAL SERVICES LIMITED,LASF
LUMBER DEPOT LIMITED,LUMBER
MAILPAC GROUP LIMITED,MAILPAC
MAIN EVENT ENTERTAINMENT GROUP,MEEG
MEDICAL DISPOSABLES & SUPPLIES LIMITED,MDS
MFS CAPITAL PARTNERS LIMITED,MFS
OMNI INDUSTRIES LIMITED,OMNI
ONE GREAT STUDIO COMPANY LIMITED,1GS
ONE ON ONE EDUCATIONAL SERVICES LIMITED,ONE
PARAMOUNT TRADING (JAMAICA) LIMITED,PTL
R.A. WILLIAMS DISTRIBUTORS LIMITED,RAWILL
REGENCY PETROLEUM CO. LIMITED,RPL
SPUR TREE SPICES JAMAICA LIMITED,SPURTREE
STATIONERY AND OFFICE SUPPLIES LIMITED,SOS
THE LIMNERS AND BARDS LIMITED,LAB
TROPICAL BATTERY COMPANY LIMITED,TROPICAL
TTECH LIMITED,TTECH
138 STUDENT LIVING JAMAICA LIMITED,138SL
A.S. BRYDEN & SONS HOLDINGS LIMITED,ASBH
BARITA INVESTMENTS LIMITED,BIL
BERGER PAINTS JAMAICA LTD.,BRG
CARIBBEAN CEMENT COMPANY LTD.,CCC
CARIBBEAN PRODUCERS JAMAICA LIMITED,CPJ
CARRERAS LIMITED,CAR
EPPLEY CARIBBEAN PROPERTY FUND LIMITED SCC,CPFV
EPPLEY LIMITED,EPLY
FIRST ROCK REAL ESTATE INVESTMENTS LIMITED,FIRSTROCKJMD
GENERAL ACCIDENT INSURANCE COMPANY (JA) LIMITED,GENAC
GRACEKENNEDY LIMITED,GK
GUARDIAN HOLDINGS LIMITED,GHL
INNOVATIVE ENERGY GROUP LIMITED,ENERGY
JAMAICA BROILERS GROUP,JBG
JAMAICA PRODUCERS GROUP LTD.,JP
JAMAICA STOCK EXCHANGE,JSE
JMMB GROUP LIMITED,JMMBGL
KEY INSURANCE COMPANY LIMITED,KEY
KINGSTON PROPERTIES LIMITED,KPREIT
KINGSTON WHARVES LIMITED,KW
LASCO DISTRIBUTORS LIMITED,LASD
LASCO MANUFACTURING LIMITED,LASM
MARGARITAVILLE (TURKS) LIMITED,MTL
MASSY HOLDINGS LTD,MASSY
MAYBERRY GROUP LTD.,MGL
MAYBERRY JAMAICAN EQUITIES LIMITED,MJE
MPC CARIBBEAN CLEAN ENERGY LIMITED,MPCCEL
NCB FINANCIAL GROUP LIMITED,NCBFG
PALACE AMUSEMENT CO. LTD.,PAL
PAN JAMAICA GROUP LIMITED,PJAM
PORTLAND JSX LIMITED,PJX
PROVEN GROUP LIMITED,PROVEN
PULSE INVESTMENTS LIMITED,PULS
QWI INVESTMENTS LIMITED,QWI
RADIO JAMAICA LIMITED,RJR
SAGICOR GROUP JAMAICA LIMITED,SJ
SAGICOR REAL ESTATE X FUND LTD.,XFUND
SAGICOR SELECT FUNDS LIMITED - FINANCIAL,SELECTF
SAGICOR SELECT FUNDS LIMITED MANUFACTURING & DISTRIBUTION,SELECTMD
SALADA FOODS JAMAICA LTD.,SALF
SCOTIA GROUP JAMAICA LIMITED,SGJ
SEPROD LIMITED,SEP
STANLEY MOTTA LIMITED ORDINARY SHARES,SML
STERLING INVESTMENTS LIMITED,SIL
SUPREME VENTURES LIMITED,SVL
SYGNUS CREDIT INVESTMENTS LIMITED JMD (SCIJMD) ORDINARY SHARES,SCIJMD
SYGNUS REAL ESTATE FINANCIAL LIMITED (JMD),SRFJMD
TRANSJAMAICAN HIGHWAY LIMITED,TJH
VM INVESTMENTS LIMITED,VMIL
WIGTON ENERGY LIMITED,WIG
WISYNCO GROUP LTD ORDINARY SHARES,WISYNCO
